,name,album,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,year,minmax_duration,minmax_tempo
61,Wednesday,0.6940540540540541,0.9197795468462951,0.0,0.5701030927835051,0.413,0.6363636363636364,-3.530773277222514,0.0,0.03814968814968815,0.891566265060241,0.0015199999999999,0.0902,0.4054878048780487,1.0,0.9910891089108911,0.0244657153405669,0.4802581727646677
62,strange,0.6940540540540541,0.9197795468462951,0.0,0.5494845360824742,0.319,0.9090909090909091,-3.0110468174644924,1.0,0.03357588357588358,0.8885542168674699,0.00387,0.118,0.20020325203252023,0.6,0.9910891089108911,0.0305579026224652,0.538874756440788
63,Carbon,0.6940540540540541,0.9197795468462951,0.0,0.4618556701030927,0.584,0.7272727272727273,-2.622567069963177,0.0,0.03076923076923077,0.8062248995983935,0.3339999999999999,0.0858,0.43394308943089444,0.6,0.9910891089108911,0.0449865411887529,0.7126001298982466
64,Crazy,0.6940540540540541,0.9197795468462951,0.0,0.4793814432989691,0.375,0.18181818181818182,-3.0870594423987376,0.0,0.030353430353430355,0.7640562248995983,0.0218,0.13,0.2367886178861789,0.6,0.9910891089108911,0.0433280390111428,0.5915963051165476
65,wampum prayer,0.6940540540540541,0.9197795468462951,0.0,0.511340206185567,0.15,0.7272727272727273,-4.4229352972119935,1.0,0.25571725571725573,0.9809236947791165,0.000202,0.158,0.23069105691056901,0.8,0.9910891089108911,0.0071581548667705,0.5869010247528325
66,don't make me come to Vegas,0.6940540540540541,0.9197795468462951,0.0,0.7061855670103093,0.4320000000000001,0.6363636363636364,-2.9663335086796425,1.0,0.038773388773388776,0.8644578313253012,0.21,0.0883,0.6209349593495935,0.8,0.9910891089108911,0.0479974494747388,0.4376308003175291
67,Sweet Sangria,0.6940540540540541,0.9197795468462951,0.0,0.6989690721649484,0.49,0.0,-2.753287743293004,1.0,0.03752598752598753,0.674698795180723,0.000643,0.188,0.6961382113821138,0.8,0.9910891089108911,0.0397599466768423,0.6087988020495055
68,Your Cloud,0.6940540540540541,0.9197795468462951,0.0,0.6092783505154639,0.299,0.5454545454545454,-3.802998421883219,1.0,0.029833679833679835,0.8504016064257028,0.0455,0.106,0.15142276422764228,0.8,0.9910891089108911,0.0445482935515816,0.5097558995453562
69,Pancake,0.6940540540540541,0.9197795468462951,0.0,0.6103092783505155,0.55,0.18181818181818182,-2.3926880589163595,0.0,0.029521829521829523,0.8032128514056225,0.00364,0.114,0.5823170731707317,0.8,0.9910891089108911,0.0386257558450225,0.6041711770224435
70,I Can't See New York,0.6940540540540541,0.9197795468462951,0.0,0.4731958762886597,0.401,0.45454545454545453,-3.0707522356654393,0.0,0.028170478170478172,0.8795180722891566,0.0941,0.0762,0.18292682926829268,0.8,0.9910891089108911,0.0716768629860803,0.4584145197373168
71,mrs. jesus,0.6940540540540541,0.9197795468462951,0.0,0.5,0.295,0.8181818181818182,-3.3227248816412414,1.0,0.03367983367983368,0.924698795180723,0.0283,0.177,0.2266260162601626,0.8,0.9910891089108911,0.030436653558883,0.5555315003247456
72,Taxi Ride,0.6940540540540541,0.9197795468462951,0.0,0.5670103092783506,0.6629999999999999,0.7272727272727273,-1.9955286691215153,1.0,0.03731808731808732,0.3544176706827309,0.0141,0.13,0.6524390243902439,0.8,0.9910891089108911,0.0395352890113493,0.7487551418055854
73,Another Girl's Paradise,0.6940540540540541,0.9197795468462951,0.0,0.6371134020618556,0.415,0.0,-2.8887427669647554,1.0,0.031912681912681914,0.7168674698795181,0.00156,0.142,0.24491869918699186,0.8,0.9910891089108911,0.0352866161021729,0.555220285776142
74,Scarlet's Walk,0.6940540540540541,0.9197795468462951,0.0,0.45773195876288664,0.392,0.2727272727272727,-3.227511835875855,0.0,0.02837837837837838,0.966867469879518,0.0561,0.106,0.3323170731707317,0.8,0.9910891089108911,0.0422642188892495,0.3677338168434726
75,Virginia,0.6940540540540541,0.9197795468462951,0.0,0.47113402061855675,0.49,0.5454545454545454,-2.655444502893214,0.0,0.02837837837837838,0.8734939759036144,0.161,0.136,0.23272357723577225,0.6,0.9910891089108911,0.0386786164721973,0.6358338745760266
76,Gold Dust,0.6940540540540541,0.9197795468462951,0.0,0.28453608247422685,0.2239999999999999,0.2727272727272727,-3.150973172014729,0.0,0.03659043659043659,0.926706827309237,0.00425,0.102,0.2652439024390244,0.8,0.9910891089108911,0.0586665411226771,0.5759183084361694
77,Rosaryville,0.6789189189189189,0.46907532149418246,0.0,0.7515463917525774,0.5870000000000001,0.45454545454545453,-2.0654918463966334,1.0,0.028690228690228692,0.3373493975903615,1.53e-06,0.0668,0.6463414634146342,0.8,0.9896039603960396,0.0443545263150939,0.585593021577542
78,Porcelain Blue,0.6789189189189189,0.46907532149418246,0.0,0.8020618556701031,0.529,0.8181818181818182,-2.519463440294582,0.0,0.037214137214137216,0.7781124497991968,0.0004309999999999,0.111,0.7154471544715448,0.8,0.9896039603960396,0.0368790424958145,0.5952902864977989
79,Rosa's Coronas,0.6789189189189189,0.46907532149418246,0.0,0.5752577319587628,0.319,0.09090909090909091,-2.507101525512888,1.0,0.03607068607068607,0.8172690763052209,0.0,0.0969,0.3546747967479675,0.8,0.9896039603960396,0.0477683316938279,0.5593382406004186
80,In My Mother's House,0.6789189189189189,0.46907532149418246,0.0,0.565979381443299,0.162,0.6363636363636364,-3.5497106785902157,1.0,0.03451143451143451,0.92570281124498,0.0,0.103,0.19308943089430894,0.6,0.9896039603960396,0.0354694808343058,0.4906139496283467
81,Heart of Hearts,0.6789189189189189,0.46907532149418246,0.0,0.6206185567010309,0.685,0.18181818181818182,-1.7596002104155708,1.0,0.028482328482328484,0.5271084337349398,1.16e-06,0.111,0.5579268292682926,0.8,0.9896039603960396,0.0379451752701467,0.4420464386230786
82,Fade to Blue,0.6789189189189189,0.46907532149418246,0.0,0.6742268041237114,0.26,0.7272727272727273,-3.183850604944766,1.0,0.030561330561330563,0.8744979919678715,0.0,0.11,0.48272357723577236,0.8,0.9896039603960396,0.0301459201094215,0.630096702027856
